experiment,max_tile,score
1,2048,35664
2,2048,31108
3,2048,35716
4,2048,32168
5,2048,25772
6,1024,16188
7,2048,32284
8,1024,15940
9,1024,14372
10,1024,12176
11,2048,26260
12,2048,32192
13,1024,16220
14,1024,16096
15,1024,16376
16,2048,27324
17,2048,36468
18,2048,36104
19,2048,34640
20,1024,15352
21,1024,16056
22,4096,56284
23,2048,23124
24,512,7020
25,2048,27356
26,2048,27128
27,2048,35876
28,2048,34992
29,2048,34508
30,2048,36188
31,2048,32224
32,2048,36632
33,1024,16124
34,1024,12028
35,2048,32396
36,2048,22380
37,2048,21404
38,2048,35896
39,1024,16028
40,2048,32272
41,2048,27248
42,2048,31872
43,2048,27236
44,2048,27232
45,2048,33696
46,2048,25988
47,1024,12068
48,2048,27088
49,2048,32128
50,512,7024
51,1024,16492
52,1024,12256
53,1024,16336
54,2048,32028
55,1024,16032
56,2048,36368
57,1024,16580
58,1024,16064
59,2048,35484
60,1024,16008
61,2048,34576
62,1024,16012
63,4096,60272
64,1024,16068
65,2048,26880
66,2048,36268
67,1024,16104
68,2048,36180
69,1024,16088
70,2048,36204
71,1024,16064
72,2048,27100
73,1024,16156
74,2048,31972
75,2048,27268
76,2048,32192
77,1024,12164
78,1024,12228
79,2048,35388
80,2048,36180
81,2048,26548
82,2048,36256
83,2048,27140
84,1024,11748
85,512,7052
86,1024,16172
87,2048,27012
88,1024,16184
89,2048,27340
90,2048,27188
91,1024,16088
92,2048,36168
93,1024,16240
94,1024,14352
95,2048,33660
96,1024,16244
97,512,7016
98,1024,16224
99,2048,27124
100,2048,36192
