experiment,max_tile,score
1,2048,27144
2,1024,16012
3,1024,16204
4,2048,36388
5,1024,15372
6,2048,30452
7,2048,36248
8,2048,32232
9,2048,27356
10,1024,16364
11,2048,23500
12,2048,23220
13,2048,32388
14,1024,15192
15,2048,27256
16,1024,16292
17,2048,35732
18,512,6724
19,1024,15208
20,1024,16160
21,2048,27168
22,2048,36656
23,2048,27352
24,1024,12112
25,2048,32336
26,2048,34308
27,2048,35580
28,512,7020
29,2048,36180
30,2048,31372
31,2048,36076
32,1024,16044
33,1024,12084
34,2048,36204
35,2048,31560
36,512,7092
