experiment,max_tile,score
1,2048,26976
2,2048,22976
3,2048,34496
4,1024,16172
5,2048,35648
6,2048,26952
7,1024,14372
8,2048,27176
9,256,2932
10,2048,31472
11,2048,21456
12,1024,16040
13,2048,36132
14,1024,15368
15,2048,36344
16,2048,27124
17,2048,32224
18,2048,27300
19,1024,16148
20,2048,25560
21,2048,32044
22,1024,15996
23,2048,32476
24,1024,16284
25,1024,15372
26,2048,27236
27,2048,35732
28,2048,35652
29,2048,36272
30,2048,27128
31,2048,35568
32,2048,32256
33,2048,27256
34,2048,24692
35,2048,34444
36,1024,12284
37,4096,51560
38,1024,16324
39,2048,30572
40,2048,32324
41,2048,31808
42,1024,15672
43,1024,15694
44,2048,31808
45,2048,27036
46,2048,27120
47,1024,16108
48,4096,50676
49,2048,21420
50,2048,36296
51,4096,51420
52,2048,34480
53,2048,36396
54,2048,35880
55,1024,16052
56,2048,34448
57,2048,36304
58,256,2732
59,1024,15496
60,1024,16052
61,2048,32548
62,2048,26696
63,1024,16084
64,1024,15688
65,2048,26820
66,2048,27088
67,2048,35404
68,2048,26392
69,1024,15372
70,2048,32280
71,1024,15916
72,1024,16068
73,1024,16148
74,1024,15324
75,4096,60564
76,2048,27104
77,2048,27248
78,1024,16260
79,512,6972
80,1024,16252
81,2048,32220
82,2048,35144
83,2048,36356
84,1024,16264
85,2048,36168
86,1024,16376
87,1024,14316
88,1024,16008
89,2048,34440
90,4096,60224
91,2048,32276
92,2048,36204
93,4096,56444
94,2048,27172
95,512,7188
96,1024,16252
97,2048,35412
98,2048,27088
99,2048,23132
100,1024,16132
